"","title","abstract","authors","pub_year","reviewer_name","consistency_check","marine_y_n","water_body_type","original_research_y_n","response_variable","connectivity_metric","inclusion","notes","ID","reason"
"206","product spotlight: dust control &amp; explosion prevention","CENTRAL-VAC SYSTEM * Keep your facility clean * Position numerous suction points throughout facility * Lightweight 2- or 3-inch hoses * Floor sweep tool and crevice tool * Reduces potential for dust related explosions Feedandgrain.com/product/central-vac-system SONICAIRE SONICAIRE™ CLEAN FANS * Prevent dust buildup on overhead structures * Leverage BarrierAIre™ technology to create an overhead air curtain * Keep employees continuously safe * Maintain OSHA compliance * Make a one-time investment that pays for itself in a year Feedandgrain.com/product/sonicaire-clean-fans INTERSTATES COMPANIES HAZARD MONITORING SYSTEMS * Customizable configuration and settings * Configurable equipment shutdown set points * Trending and reporting * Alarm monitoring * Sensor-based diagnostics Feedandgrain.com/product/hazard-monitoring-systems HONEYVILLE METAL, INC. TOP BAG REMOVABLE FILTER * Improved filter is an option available to most Kice filters * Quick release laterals, which are easily removed without tools for installing filter bags * Filter bags can be replaced without having to enter a dirty air chamber * New design is simple, requires less maintenance and eliminates any safety concerns related to new hinged top filters Feedandgrain.com/producl/lop-bag-removable-liller CMC INDUSTRIAL ELECTRONICS HAZMON IN A BOX™ * All parts included from sensors and mounting brackets to nuts and bolts * Enables significantly reduced installation costs * Enables consistent and efficient installation across sites Feedandgrain.com/product/hazmon-in-a-box AIRLANCO (AGI) HV SERIES CYCLONES * Built big enough to handle large air volumes without ganging * Intended largely for outdoor installations where physical size is unlimited * Serve as primary product receivers at processing plants where valuable process materials are separated from conveying air * Carbon or stainless steel, with round or square inlets; variety of mounting flanges, ductwork, fans, air locks and other equipment Feedandgrain.com/producl/hv-series-cyclones ELECTRO- SENSORS, INC. HAZARDPRO™ CLASS II, DIV. 1 WIRELESS HAZARD MONITORING * Class II Div. 1 approvals * Install in days not weeks * Modbus TCP/IP data transfer conduit- free installations Feedandgrain.com/producl/hazardpro 4B COMPONENTS LTD. WATCHDOG™ SUPER ELITE * Processes signals from up to 27 sensors for belt slip, belt misalignment, hot bearings, pulley misalignment and plug conditions on bucket elevators or conveyors * Large 3.5-inch color graphic LCD screen displays the entire system status * When an alarm condition is detected, the system will log the details, sound an alarm and provide shutdown control of the elevator/conveyor and feeding system * PLC connectivity by standard Modbus TCP/IP or Ethernet/IP * HazardMon.com secure cloud based integration Feedandgrain.com/product/watchdog-super-elite SCHENCK PROCESS MCF POWERSAVER DUST COLLECTION SYSTEM * Requires no integrated plant air to function * Generates energy cost-savings of up to 50% over conventional high pressure pulse jet or reverse air cleaning systems * Built to handle heavy dust loads and comes in sizes and configurations to fit most industrial air quality applications * Never Miss™ Controlled-Cleaning System aligns the cleaning arm and bag segments, so that air nozzles fire directly into the bags Feedandgrain.com/product/mcf-powersaver EDWARD J. HECK &amp; SONS CO.","Anonymous",2018,"MB","NA",NA,NA,"n",NA,NA,"exclude","magazine","r3_27","type"
"207","a floodplain-scale lake classification based on characteristics of macroinvertebrate assemblages and corresponding environmental properties","Floodplain lakes have been experiencing great pressures by human activities, and ecological functionsin different types of lakes show different degrees of degradation. For facilitating conservation and management of different types of floodplain lakes, it is necessary to classify the lakes into similar groups according to certain standards. In this study, on basis of consideration of macroinvertebrate assemblages and corresponding environmental properties, the Yangtze floodplain lakes were classified into three major types grouping five groups of lakes: (1) river-disconnected lakes (algal lakes, macrophytic-algal transition lakes, and macrophytic lakes), (2) semi-connected lakes (oxbow lakes), (3) river-connected lakes. The classification of floodplain lakes mainly reflects the gradients of trophic and hydrological connectivity. The key factors structuring macroinvertebrate assemblages in the Yangtze floodplain lakes were mainly hydrological (connectivity rating, water depth), trophic (total phosphorus, macrophytes biomass) and morphometric (development of lake shoreline). Among the floodplain lakes, ecological status of river-connected lakes, where biodiversity, biomass and production of macroinvertebrates reached maxima, has been confirmed to be the best. From the view of conservation and management of the entire floodplain lakes, it is suggested that protecting the remnants of river-connected lakes, controlling eutrophication and linking disconnected lakes freely with the mainstream are crucial.","Pan, Baozhu;Wang, Hongzhu;Wang, Haijun",2014,"MB","NA","n","floodplain lakes","y","macroinvertebrate assemblages, environmental conditions","river-disconnected, semi-connected, river-connected","include","classified floodplain lakes based on macroinvertebrate assemblage; found hydrologic connectivity to be a driving factor","r3_01",NA
"208","assessing seasonal eco-hydrological variability in lakes in the peace athabasca delta","It has been accepted previously that flood events brought about river ice-jam flooding plays a important role in the biology and maintenance of the Peace-Athabasca Delta (PAD) lakes through recharge of water volume and supplying nutrients to maintain the high productivity of deltaic lakes. While such assumptions are not unreasonable, little research has been done to test this theory. Ten PAD lakes positioned along a gradient of Evaporation/Inflow ratio were examined during 2003 with the goal of studying how the hydrologic setting influences the limnology of such waterbodies. The following questions were asked in this study: 1) Does hydraulic connectivity affect the nutrient and/or light regimes of deltaic lakes? 2) Does hydraulic connectivity affect productivity of macrophyte and phytoplankton communities? 3) Does hydraulic connectivity alter the seasonality of the limno-ecology of PAD lakes? Progress towards answering these questions goals were achieved through work of the previous summer (2003). Continuation of this work in the coming summer (2004) will allow for an examination of inter-year variability. In particular the possibility of contrasting the effects of differing ice break-up conditions on the seasonal development of limnological physical, chemical and biological conditions.","Wiklund, JA;Hall, R I",1,"MB","NA",NA,NA,"n",NA,NA,"exclude","conference abstract","r3_03","type"
"209","connectivity influences temporal variation of limnological conditions in missouri river scour lakes","Two scour lakes in the Missouri River floodplain were sampled 20 months (April 1996-December 1997) to examine effects of river inflow on mixing, seston, and nutrient dynamics. Lake NC-11 ( approximately 4 ha) is deep ( approximately 16 m), sheltered, dimictic, and connected to the river only during floods. Lake S-19 ( approximately 20 ha) comprises two sub-basins, a deep ( approximately 12 m) riverine forewater perennially connected to the river and a shallow ( approximately 4 m), polymictic backwater of variable connectivity. Stratification in NC-11 affected, and was affected by, river inputs - cool inflows mixed completely and sometimes destratified the lake, warmer inflows were partly or completely confined to the epilimnion. Mixing between basins at S-19 was incomplete except during floods. During floods, concentrations of seston and particulate N and P were similar in the two basins of S-19, but conditions in the two basins diverged substantially during inter-flood periods as lower water levels reduced lateral exchange. Seston concentrations in NC-11 during floods were much less ( approximately 90% less) than in S-19 or the river. In NC-11, algal blooms (chlorophyll 50-90 mu g times L super(-1)) occurred in summer post-flood periods, but larger blooms (chlorophyll 50-256 mu g times L super(-1)) occurred in the S-19 backwater during periods of low connectivity in all seasons. Nitrate-N peaked at >2 mg times L super(-1) during floods but was exhausted during algal blooms along with up to approximately 90% of dissolved phosphorus. Silica declined sharply (up to 93%) in many, but not all blooms, but remained >0.5 mg times L super(-1) in all observations. Connectivity influenced many lake features and enhanced nutrient availability, but other floodplain lakes lacking river connections have similar algal biomass.","Knowlton, M F;Jones, J R",2003,"MB","NA","n","floodplain lakes","y","nutrient dynamics, mixing, seston","perennial connection, variable connection","include","studied the impact of river inflow on mixing, seston, and nutrient dynamics in lakes with differing degrees of connectivity to the Missouri river","r3_05",NA
"210","effects of chloroplast–cytoplasm exchange and lateral mass transfer on slow induction of chlorophyll fluorescence in characeae","Rapid cytoplasmic streaming in characean algae mediates communications between remote cell regions exposed to uneven irradiance. The metabolites exported from brightly illuminated chloroplasts spread along the internode with the liquid flow and cause transient changes in chlorophyll fluorescence at cell areas that are exposed to dim light or placed shortly in darkness. The largest distance to which the photometabolites can be transported has not yet been determined. Neither is it known if lateral transport has an influence on the induction of chlorophyll fluorescence. In this study, the relations between spatial connectivity of anchored chloroplasts in characean internodes and fluorescence induction curves were examined. Connectivity between remote cell parts was pronounced upon illumination of a cell spot at a distance up to 10 mm from the area of fluorescence measurement, provided the spot was located upstream in the cytoplasmic flow. Spatial interactions between distant cell sites were also manifested in strikingly different slow stages of fluorescence induction caused by narrow‐ and wide‐field illumination. Cytochalasin D, cooling of bath solution, and inactivation of light‐dependent envelope transporters were used to disturb cyclosis‐mediated spatial interactions. Although fluorescence induction curves induced by narrow‐ and wide‐field illumination differed greatly under control conditions, they became similar after the inhibition of cyclosis with cytochalasin D. The results indicate that cytoplasmic streaming not only drives the lateral translocation of photometabolites but also promotes the export of reducing power from illuminated chloroplasts due to flushing the chloroplast surface and keeping sharp concentration gradients.","Bulychev, Alexander A;Cherkashin, Alexander A;Shapiguzov, Stepan Yu;Alova, Anna V",2021,"MB","NA","n",NA,"y",NA,NA,"exclude","about chloroplasts, not landscape/hydrologic connectivity","r3_07","connectivity"
"211","integrated fracture characterization of asmari reservoir in haftkel field","The Asmari reservoir in Haftkel field is one of the most prolific naturally fractured reservoirs in the Zagros folded zone in the southwest of Iran. The primary production was commenced in 1928 and continued until 1976 with a plateau rate of 200,000 bbl/day for several years. There was an initial gas cap on the oil column. Gas injection was commenced in June 1976 and so far, 28% of the initial oil in place have been recovered. As far as we concerned, fracture network is a key factor in sustaining oil production; therefore, it needs to be characterized and results be deployed in designing new wells to sustain future production. Multidisciplinary fracture evaluation from well to reservoir scale is a great privilege to improve model’s accuracy as well as enhancing reliability of future development plan in an efficient manner. Fracture identification and modeling usually establish at well scale and translate to reservoir using analytical or numerical algorithms with the limited tie-points between wells. Evaluating fracture network from production data can significantly improve conventional workflow where limited inter-well information is available. By incorporating those evidences, the fracture modeling workflow can be optimized further where lateral and vertical connectivity is a concern. This paper begins with the fracture characterization whereby all available data are evaluated to determine fracture patterns and extension of fracture network across the field. As results, a consistent correlation is obtained between the temperature gradient and productivity of wells, also convection phenomenon is confirmed. The findings of this section help us in better understanding fracture network, hydrodynamic communication and variation of temperature. Fracture modeling is the next step where characteristics of fractures are determined according to the structural geology and stress directions. Also, the fault’s related fractures and density of fractures are determined. Meanwhile, the results of data evaluation are deployed into the fracture model to control distribution and characteristics of fracture network, thereby a better representation is obtained that can be used for evaluating production data and optimizing development plan.","Khadivi, Kourosh;Alinaghi, Mojtaba;Dehghani, Saeed;Soltani, Mehrbod;Hassani, Hamed;Mosavi, Seyed Chaseb;Shiralipour, Mansour;Fardin, Hashem;Sanjari, Sadegh;Partovi, Mohammad",2022,"MB","NA","n",NA,"y",NA,NA,"exclude","not aquatic, about modeling fracture patterns across a oil mining field","r3_09","not aquatic"
"212","landscape controls on thermokarst lake water fluxes between inuvik and tuktoyaktuk, northwest territories, canada","The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. The Arctic is warming at twice the rate of the rest of the world, causing precipitation to shift from snowfall to rainfall, longer snow-free and ice-free summers, increased evapotranspiration, and permafrost thaw. It is necessary to understand how thermokarst lake water fluxes will react to these changes if we are to predict future greenhouse gas fluxes from lakes. Greenhouse gas fluxes from lakes are tied to the amount of lateral carbon delivery into the lake, the residence time of lake waters, and the temperature of lake waters, all of which are regulated by lake water fluxes and lake characteristics. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. We measured lake water flux components at multiple spatial and temporal scales across the 5000 km (super 2) boreal-tundra transition zone between Inuvik and Tuktoyaktuk, Northwest Territories, Canada. Lake water flux components were measured at two adjacent thermokarst lakes with different ratios of lake area to catchment area (LACA), from 2017-2019. Also, stable water isotope samples were collected from March-September 2018 from approximately 100 lakes across 2000 km (super 2) . From these samples we estimated the ratio of evaporation to inflow, residence time, and the mixture of snowmelt and rainfall runoff in each lake. Catchments of all 7500 lakes in the region were delineated using a high-resolution digital elevation model in order to estimate their LACA, and evaluate connectivity between lakes. Lake temperature, conductivity, dissolved oxygen, pH, DOC, DON, and chlorophyll profiles were also measured from approximately 50 lakes pre-snowmelt in 2019. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties. Lakes with a smaller LACA had a larger portion of their inflow evaporate, longer residence times, and have less of their water replaced after rainfall events. Coupling isotope samples taken before, during, and after snowmelt with field observations also revealed that the majority of snowmelt runoff flowed overtop of lake ice and through the outlet, as the lake ice stopped snowmelt runoff entering the lake until it had melted sufficiently. LACA and lake connectivity also varied greatly across the 7500 lakes in the region. Further work this year will compare lake limnological properties and greenhouse gas fluxes with LACA and other lake and catchment properties.","Wilcox, E;Walker, B;Hould Gosselin, Gabriel;Wolfe, Brent B;Sonnentag, Oliver;Marsh, Philip;Saarela, Taija;Anonymous",2019,"MB","NA",NA,NA,"n",NA,NA,"exclude","symposium report","r3_11","type"
"213","opposing effects of climate and permafrost thaw on ch (sub 4) and co (sub 2) emissions from northern lakes","Small, organic-rich lakes are important sources of methane (CH (sub 4) ) and carbon dioxide (CO (sub 2) ) to the atmosphere, yet the sensitivity of emissions to climate warming is poorly constrained and potentially influenced by permafrost thaw. Here, we monitored emissions from 20 peatland lakes across a 1,600 km permafrost transect in boreal western Canada. Contrary to expectations, we observed a shift from source to sink of CO (sub 2) for lakes warmer regions, driven by greater primary productivity associated with greater hydrological connectivity to lakes and nutrient availability in the absence of permafrost. Conversely, an 8-fold increase in CH (sub 4) emissions in warmer regions was associated with water temperature and shifts in microbial communities and dominant anaerobic processes. Our results suggest that the net radiative forcing from altered greenhouse gas emissions of northern peatland lakes this century will be dominated by increasing CH (sub 4) emissions and only partially offset by reduced CO (sub 2) emissions. Abstract Copyright (2021), . The Authors.","Kuhn, McKenzie A;Thompson, Lauren M;Winder, Johanna C;Braga, Lucas P P;Tanentzap, Andrew J;Bastviken, David;Olefeldt, David",2021,"MB","NA","n","peatland lakes","y","carbon emissons, methane emissions","unclear","include","studied carbon dioxide and methane emissions from peatland lakes in Canada and found that variation in emissions with regional temperature was related to differences in hydrological connectivity","r3_13",NA
"214","phytoplankton functional groups in a subtropical brazilian reservoir: responses to impoundment","The discontinuity in rivers caused by the construction of reservoirs disrupts the longitudinal gradient and decreases the natural connectivity of lotic systems. We evaluated the dynamics of Reynolds functional groups (RFGs) in response to the formation of a subtropical reservoir, in relation to the environmental changes between the pre- and post-impoundment periods. We hypothesized that the disruption of longitudinal connectivity and the changes in the light and mixing regime after the impoundment would directly influence the phytoplankton functional structure. Significant changes in the light and mixing regimes were observed after the impoundment, with the formation of a lacustrine zone, influencing the dynamics of RFGs. Fourteen RFGs were recorded. RFG C (diatoms) dominated in the pre-impoundment period. In the post-impoundment period, RFGs C, P (diatoms), and J (chlorophyceans) codominated with the highest mean values of biovolume. RFGs MP, N, H1, W2, F, E, A, W1, B, X1, and S1 contributed relatively little to the biovolume, although with higher values in the post-impoundment period. RFGs F and S1 were recorded only after the impoundment. This study revealed the important roles of physical processes and nutrients in the spatial and seasonal gradient, and in the selection of phytoplankton functional groups in a subtropical reservoir.","Souza, Dayane Garcia;Bueno, Norma Catarina;Bortolini, Jascieli Carla;Rodrigues, Luzia Cleide;Bovo-Scomparin, Vania Mara;Souza Franco, Gilza Maria",2016,"MB","NA","n","suptropical reservoir","y","Reynolds functional groups, light and mixing regimes","longitudinal, pre and post impoundment","include","studied the impact of river impoundment on phytoplankton functional structure","r3_15",NA
"215","solute transport dynamics in small, shallow groundwater-dominated agricultural catchments: insights from a high-frequency, multisolute 10 yr-long monitoring study","High-frequency, long-term and multisolute measurements are required to assess the impact of human pressures on water quality due to (i) the high temporal and spatial variability of climate and human activity and (ii) the fact that chemical solutes combine short- and long-term dynamics. Such data series are scarce. This study, based on an original and unpublished time series from the Kervidy-Naizin headwater catchment (Brittany, France), aims to determine solute transfer processes and dynamics that characterise this strongly human-impacted catchment. The Kervidy-Naizin catchment is a temperate, intensive agricultural catchment, hydrologically controlled by shallow groundwater. Over 10 yr, five solutes (nitrate, sulphate, chloride, and dissolved organic and inorganic carbon) were monitored daily at the catchment outlet and roughly every four months in the shallow groundwater. The concentrations of all five solutes showed seasonal variations but the patterns of the variations differed from one solute to another. Nitrate and chloride exhibit rather smooth variations. In contrast, sulphate as well as organic and inorganic carbon is dominated by flood flushes. The observed nitrate and chloride patterns are typical of an intensive agricultural catchment hydrologically controlled by shallow groundwater. Nitrate and chloride originating mainly from organic fertilisers accumulated over several years in the shallow groundwater. They are seasonally exported when upland groundwater connects with the stream during the wet season. Conversely, sulphate as well as organic and inorganic carbon patterns are not specific to agricultural catchments. These solutes do not come from fertilisers and do not accumulate in soil or shallow groundwater; instead, they are biogeochemically produced in the catchment. The results allowed development of a generic classification system based on the specific temporal patterns and source locations of each solute. It also considers the stocking period and the dominant process that limits transport to the stream, i.e. the connectivity of the stocking compartment. This mechanistic classification can be applied to any chemical solute to help assess its origin, storage or production location and transfer mechanism in similar catchments.","Aubert, AH;Gascuel-Odoux, C;Gruau, G;Akkal, N;Faucheux, M;Fauvel, Y;Grimaldi, C;Hamon, Y;Jaffrezic, A;Lecoz-Boutnik, M",2013,"MB","NA","n","headwater catchment, groundwater and stream","y","nitrate, sulphate, chloride, dissolved organic carbon, dissolved inorganic carbon","unclear, related to flood pulses","include","measured solutes in stream and groundwater to study the solute transport in a human-impacted system","r3_17",NA
"216","spatial variability in dissolved organic matter and inorganic nitrogen concentrations in a semiarid stream, san pedro river, arizona","We performed synoptic sampling of a 95-km reach of the San Pedro River, Arizona, to identify the effects of regional hydrology and land use on dissolved carbon and nitrogen concentrations. Six synoptic surveys, two before, two during, and two after the 2002 monsoon season, encompassed periods of both low and high stream discharge. Chloride concentrations and delta super(18)O values during low-flow periods indicated the river was divided into three hydrologically distinct reaches each roughly 30 km long. Upper and lower reaches were characterized by areas of localized groundwater input followed by downstream evapo-concentration gradients, limited downstream solute transport, and highly variable carbon and nitrogen concentrations. In contrast, the middle reach was characterized by widespread groundwater input, continuous downstream hydrologic connectivity, and less variable carbon and nitrogen concentrations. During the monsoon season, base flow discharge increased five- to ten-fold, dissolved organic matter and inorganic N increased two- to ten-fold, Fluorescence Index (FI) values indicated a large input of terrestrial solutes, and both chloride concentrations and delta super(18)O values indicated that stream water and alluvial groundwater were well mixed along the entire 95 km reach. Concurrently, the middle reach that exhibited continuous hydrologic connectivity during the nonmonsoon season was a net sink for N, while the reaches characterized by limited hydrologic connectivity during the low-flow season exhibited net N export. Our data suggest that instream biogeochemical cycling during the monsoon season is influenced by antecedent conditions, specifically hydrologic connectivity, during the dry season.","Brooks, Paul D;Lemon, Michelle M",2007,"MB","NA","n","river","y","dissolved carbon, dissolved nitrogen","discharge, low and high flow periods","include","described three hydrologically distinct reaches of the river and monitored the impact of low and high flow periods on dissolved organic matter and nitrogen","r3_19",NA
"217","the production processes and characteristics of nitrogen pollution in bare sloping farmland in a karst region","Nitrogen loss in karst sloping farmland will lead to declining land productivity and environmental pollution, in which the nitrogen loss through underground pore fissures will directly lead to groundwater pollution. The characteristics of total nitrogen (TN) production were studied by simulating the ""dual structure"" microenvironment of sloping farmland in a karst region using an artificial rainfall simulation method. The results show that rainfall was the main driving factor of TN loss in karst sloping farmland. TN was mainly lost through underground pore fissures when the rainfall intensity was ≤ 30 mm · h-1. TN was lost at the surface and underground when the rainfall intensity was ≥ 50 mm · h-1, TN loss on the surface accounted for a large proportion, and the surface flow was the main carrier of TN loss. The TN loss underground is easily ignored because it is hidden underground. Therefore, TN loss belowground in karst sloping farmland should receive increased attention. It would be interesting to explore the influences of connectivity and type of underground pore fissure system on TN loss in karst sloping farmland. The prevention and control of TN loss in karst sloping farmland should be considered both at the surface and underground. Reducing the formation of slope flows and slowing rainwater filtration by increasing slope vegetation coverage can be considered to reduce TN loss. The results of this study provide a theoretical reference for agricultural non-point source pollution control in a karst region. Graphical abstract.","Gao, Ruxue;Dai, Quanhou;Gan, Yixian;Peng, Xudong;Yan, Youjin",2019,"MB","NA","n","rainwater","y","total nitrogen","terrestrial-aquatic","include","Does not seem relevant, but is not excluded by any of the criteria. Used an artificial rainfall simulation to study the drivers of total nitrogen loss from farmland in a karst region","r3_21",NA
"218","trophic status of missouri river floodplain lakes in relation to basin type and connectivity","Limnological data were collected over a two-year period from 12 lakes in the Missouri River floodplain in order to evaluate lake trophic status and the influence of basin type and connectivity on nutrient, seston, and phytoplankton dynamics. The lakes were located in west-central Missouri and included eight scour basins formed by levee breaks during a 1993 flood and four older oxbow lakes. The Missouri River was also sampled. Five of the scour basins (connected scours) were inundated by the Missouri River for varying periods during the study. The other lakes (protected lakes) were hydrologically isolated from the river by levees. On the basis of mean total phosphorus (TP - 61-282 mu g/L), mean total nitrogen (TN - 0.7-2.1 mg/L), mean chlorophyll (CHL - 22-67 mu g/L), and mean suspended solids (TSS - 16-93 mg/L), all 12 sites were highly eutrophic compared to other lakes in Missouri. Nutrient fractions and seston composition indicated dominance of inorganic nutrients and abiotic seston in the riverine lakes. Maximum concentrations of nutrients and TSS occurred in oxbow lakes during periods of sediment resuspension and in connected scours during floods in spring 1995 and 1996 when connected sites were inundated by the Missouri River. Algal blooms with peak CHL >200 mu g/L occurred sporadically in the oxbow lakes. Similarly large blooms (peak CHL 81-689 mu g/L) occurred in connected scours when low river levels reduced exchange with the river. Reduced connectivity was accompanied by rapid loss of dissolved N and P fractions, especially nitrate. Protected scours had lower average TP, TN, and TSS than the other sites and were less temporally variable.","Knowlton, M F;Jones, J R",1997,"MB","NA","n","floodplain lakes and river","y","total phospohorus, mean total nitrogen, mean chlorophyll, mean suspended solids","seasonally connected, isolated from river ","include","seems highly relevant; describes impact of hydrologic connectivity with the river on various nutrients and chlorophyll","r3_23",NA
"219","hydrologic influence on stream water nitrogen to phosphorus ratios","Watersheds and their complex network of flow paths regulate the movement of water and nutrients to aquatic ecosystems. Overland and subsurface (soil and ground water) flow paths transport nitrogen (N) and phosphorus (P) with differing levels of efficiency; P transport occurs via surface flow paths almost exclusively and N transport can utilize both overland and subsurface flow paths. Stream water N:P ratios influence ecosystem community composition, nutrient limitation of primary production, and trophic dynamics. Regional patterns of stream water N:P ratios have been identified, however, the controls driving the pattern remains poorly understood. This dissertation hypothesizes that watershed flow paths control the regional variation of stream water N:P ratios. Three independent lines of evidence were pursued to address the hypothesis: (i) a field study that quantified watershed flow paths and stream water N:P ratios in two watersheds with distinctly different hydrology; (ii) a watershed modeling exercise that simulated many different precipitation regimes and recorded the resulting flow paths and N:P ratios; (iii) a data synthesis of 58 minimally-impacted watersheds across the United States that focused on the relationship between stream water N:P ratios and stream discharge. The results from the three studies all indicate that watershed flow paths influence stream water N:P ratios. Furthermore, the results from all lines of evidence identify a possible scaling relationship between N:P ratios and stream discharge across large temporal and spatial ranges. The results suggest that watershed connectivity with the stream, defined as the sum of the active watershed flow paths, is a fundamental condition that helps explain the variability of N:P ratios, and has important implications for the watershed transport of other elements. Such information allows more informed management of aquatic ecosystems in a changing environment.","Green, Mark Benjamin",2007,"PG","NA","n ","stream","n","N, P","active watershed flow paths","n ",NA,"r3_26","dissertation"
"220","the influence of lateral hydrologic connectivity on fluvial flux and ecosystem metabolism in a river-floodplain system","Within mountainous watersheds and river networks, low-gradient valley bottoms can function as locations of high retention and biogeochemical processing. We evaluated hydrologic dynamics, nutrient flux, and aquatic ecosystem metabolism across the snowmelt hydrograph from May – October 2015 along two river segments of the North Saint Vrain Creek, Rocky Mountain National Park, Colorado: a valley-confined channel (confined segment) and an unconfined wet valley (unconfined segment) directly downstream. We observed significant differences in water, carbon, and nutrient flux, ecosystem metabolism, and lateral hydrologic connectivity dynamics among these contrasting segments. The confined segment was a consistent source of water, carbon, and nutrients and exported 14.4 mm of water, 26 g NO 3 -N ha -1 , 41 g dissolved organic nitrogen (DON) ha -1 , and 721 g dissolved organic carbon (DOC) ha -1 per 100 m of river length over the study period. In contrast, the unconfined segment exhibited variable source-sink dynamics and stored 1.2 g NO 3 -N ha -1 and 1.8 g DON ha -1 , and exported only 1.1 mm of water and 8 g DOC ha -1 per 100 m. The retention of water, DOC and N related to the strength of lateral connectivity between the river and the floodplain, which in turn, influenced fluvial ecosystem metabolism rates. Gross primary productivity (GPP) and ecosystem respiration (ER) rates were higher and more variable in the unconfined versus confined river segment; average GPP was +1.01 ± 0.76 g O 2 m -2 d -1 and ER was -1.77 ± 1.10 g O 2 m -2 d -1 in the unconfined segment, whereas average GPP was +0.09 ± 0.14 g O 2 m -2 d -1 and ER was -0.72 ± 0.50 g O 2 m -2 d -1 in the confined segment. We found that along the unconfined segment, metabolism rates generally increased from high to low flows and that the greatest increases occurred in a floodplain side-channel with intermittent surface water connections with the main channel. Combined, our data suggest a conceptual model where DOC and N are delivered to floodplain water-bodies via lateral hydrologic connections during high flows, and are subsequently utilized when velocities decline and processing rates are maximized.","Wegener, Pamela",2016,"PG","NA","n ","river-floodplain","n"," nutrient flux, and aquatic ecosystem metabolism","unconfined/confined","n",NA,"r3_28","dissertation"
"221","a tracer-based simulation approach to quantify seasonal dynamics of surface-groundwater interactions in the pantanal wetland","The Pantanal wetland is one of the least explored regions of South America. It is characterized by an outstanding flora and fauna adapted to a seasonal flood pulse controlled by a dry and a wet season within each year. The resulting inundation covers in average an area of approximately 150000km super(2) and is seen as the most important driver for ecological integrity. Evaporation from the large floodplain is supposed to influence the climate of the whole continent. The regional groundwater is connected to the surface water and plays an important role for the characteristic flooding regime by regulating the wetland's water table. The water balance assessment of the wetland and the internal water exchange between surface and groundwater is therefore of high relevance for the conservation of the Pantanal biodiversity. Despite of its importance, water balance studies including groundwater-surface water interactions based on field data are rarely undertaken. This is mainly due to the remoteness and difficulty in accessing this area, which results in lack of data. In our study, we developed a new tracer-based model to simulate the spatio-temporal surface and subsurface fluxes for a range of water bodies. The model was able to simulate these fluxes considering a dynamic simulation of inflow and outflow using a newly collected 2-year dataset of water levels, stable water isotopes and chloride collected from several water bodies in the northern Pantanal region. Quantitative differences between water bodies according to their location in the floodplain were determined by the flooding regime and connectivity as well as site-specific characteristics, such as hydraulic conductivity and water depth. Our model simulated water balance fluxes with a Nash-Sutcliffe efficiency of 0.61, whereas it simulated stable water isotopic compositions better than chloride. We present the first study based on field data for the Pantanal, which is able to quantify water balances fluxes. Because their representation in global climate and land cover products is insufficient, our simulation results are valuable for validating large-scale models.","Schwerdtfeger, J;Hartmann, A;Weiler, M",2016,"PG","NA","n","floodplain","y","stable water isotopes and chloride","water balances fluxes","y",NA,"r3_02",NA
